"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @rameshlaus: #JeM terrorist training camp which was destroyed in Thickly forest/hill top, away from Civilian population in #Balakot..

#…",FALSE,0,NA,2019-02-26 07:48:42,FALSE,NA,"1100301617125978112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","r_ursr",62,TRUE,FALSE,NA,NA
"2","RT @ANI: Vijay Gokhale: In an intelligence lead operation in the early hours today, India struck the biggest training camp of Jaish-e-Moham…",FALSE,0,NA,2019-02-26 07:48:42,FALSE,NA,"1100301616702341120",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","leox9x",1871,TRUE,FALSE,NA,NA
"3","RT @GernailSaheb: Battle hardened fauj shall take revenge of Balakot - no not by sending its army or air force - but by sending a kashmiri…",FALSE,0,NA,2019-02-26 07:48:42,FALSE,NA,"1100301616089985024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Simarr14",11,TRUE,FALSE,NA,NA
"4","Pakistan calls bombing raid a 'grave aggression', and has promised to retaliate to any Indian 'adventurism'
https://t.co/Cn5MRtowws",FALSE,0,NA,2019-02-26 07:48:42,FALSE,NA,"1100301615678935041",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ThomasAResists",0,FALSE,FALSE,NA,NA
"5","RT @SaimaMohsin: #India claims to have targeted a Jaish camp in #Pakistan with military strikes by #IndianAirForce 

Some sane questions fo…",FALSE,0,NA,2019-02-26 07:48:42,FALSE,NA,"1100301615146381312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","taurusam1",4,TRUE,FALSE,NA,NA
"6","RT @KanchanGupta: Because neither Jaish nor its sugar daddy #Pakistan believed it's #NewIndia? Because of limp response to 26/11 they could…",FALSE,0,NA,2019-02-26 07:48:42,FALSE,NA,"1100301614672478208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","meinengineer",12,TRUE,FALSE,NA,NA
"7","RT @ArcaneReport: At 3.30 hours on 26th February, a group of 12 Mirage 2000 Indian Air Force Fighter jets struck JeM Terror camps across th…",FALSE,0,NA,2019-02-26 07:48:42,FALSE,NA,"1100301613808332800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","impdigar",55,TRUE,FALSE,NA,NA
"8","RT @SaimaMohsin: #India claims to have targeted a Jaish camp in #Pakistan with military strikes by #IndianAirForce 

Some sane questions fo…",FALSE,0,NA,2019-02-26 07:48:41,FALSE,NA,"1100301613107949568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Khadimhussain4",4,TRUE,FALSE,NA,NA
"9","RT @BDUTT: Narendra Modi has drawn a brand new red line.. Govt officials confirm that #JaisheMohammad camp hit in #Balakot was inside KPK i…",FALSE,0,NA,2019-02-26 07:48:41,FALSE,NA,"1100301612680065024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","himanshu241857",396,TRUE,FALSE,NA,NA
"10","#IndiaStrikesBack This facility at Balakot was headed by MAULANA YOUSUF AZHAR (alias USTAD GHOURI), the brother-in-… https://t.co/Y43LczD1fS",FALSE,1,NA,2019-02-26 07:48:41,TRUE,NA,"1100301612483072002",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","pGurus1",1,FALSE,FALSE,NA,NA
"11","RT @KazmiWajahat: Meanwhile the Indian Defence Ministry has no information about breaching of Pakistan air space by the coward #IndianAirFo…",FALSE,0,NA,2019-02-26 07:48:41,FALSE,NA,"1100301612457910272",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Faizan_virgo",211,TRUE,FALSE,NA,NA
"12","RT @TalatHussain12: Reports suggest Indian intruders used the narrow corridor of the Neelam Valley, crossed Athmuqam, dropped payload in or…",FALSE,0,NA,2019-02-26 07:48:41,FALSE,NA,"1100301612235583489",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Masood79484076",355,TRUE,FALSE,NA,NA
